IATA,ICAO,Airline,Call sign,Country/Region,Comments
,JRN,Jet Rent,JET RENT,Mexico,
3K,JSA,Jetstar Asia Airways,JETSTAR ASIA,Singapore,
,JSE,Jets Y Servicios Ejecutivos,SERVIJETS,Mexico,
,JSH,Jet-stream,STREAM AIR,Hungary,
,JSI,Jet Air Group,SISTEMA,Russia,JSC
,JSJ,JS Air,JS CHARTER,Pakistan,
,JSM,Jet Stream,JET STREAM,Moldova,
,JSP,Palmer Aviation,PALMER,United Kingdom,
,JSS,Jet Stream International,,Pakistan,2023
JQ,JST,Jetstar,JETSTAR,Australia,
,JSV,Japan Aircraft Service,,Japan,
,JSW,Jigsaw Project,JIGSAW,United Kingdom,Bristow Helicopters
XE,JSX,JSX (airline),BIGSTRIPE,United States,
,JSY,Jung Sky,,Croatia,
NU,JTA,Japan Transocean Air,JAI OCEAN,Japan,
,JTC,Jet Trans Aviation,JETRANS,Ghana,
JO,JTD,Jettime,JETTIME,Denmark,
,JTE,National Jet Express,JETEX,Australia,
,JTF,Jet Time,JETFIN,Finland,"2014, 2023"
,JTI,Cirrus Middle East,,Lebanon,
,JTL,Jet Linx Aviation,JET LINX,United States,
,JTL,Jetall Holdings,FIREFLY,Canada,
,JTM,Exxavia Limited,SKYMAN,Ireland,
,JTN,,JET TEST,United States,
,JTN,Jet Test Intl.,JET TEST,United States,
,JTR,Executive Aviation Services,JESTER,United Kingdom,
,JTS,Arrendamiento de Aviones Jets,AVIONESJETS,Mexico,
,JTT,Jet-2000,MOSCOW JET,Russia,
,JTU,Zhetysu,ZHETYSU,Kazakhstan,
,JTX,Jet Aspen Air Lines,JET ASPEN,United States,
VJ,JTY,Jatayu Airlines,JATAYU,Indonesia,
,JUA,Aero Juarez,JUAREZ,Mexico,
6J,JUB,Jubba Airways,JUBBA,Somalia,
,JUC,Juba Cargo Services & Aviation Company,JUBA CARGO,Sudan,
,JUR,Ju-Air,JUNKERS,Switzerland,
U7,JUS,USA Jet Airlines,JET USA,United States,
,JVK,Jorvik,ISLANDIC,Iceland,
,JWD,Jayawijaya Dirgantara,,Indonesia,
,JWY,Jetways of Iowa,JETWAYS,United States,
,JXA,Jetex Aviation,,Lebanon,
,JXT,Jetstream Executive Travel,VANNIN,United Kingdom,
GX,JXX,JetX Airlines,JETBIRD,Iceland,
AQ,JYH,9 Air,TRANS JADE,China,
QK,JZA,Air Canada Jazz,JAZZ,Canada,
J9,JZR,Jazeera Airways,JAZEERA,Kuwait,
,KAA,Asia Aero Survey and Consulting Engineers,AASCO,Republic of Korea,ICAO code no longer allocated
KU,KAC,Kuwait Airways,KUWAITI,Kuwait,
,KAD,Air Kirovograd,AIR KIROVOGRAD,Ukraine,
,KAE,Kartika Airlines,KARTIKA,Indonesia,
,KAH,Kent Aviation,DEKAIR,Canada,
KI,KAI,KaiserAir,KAISER,United States,"Operates B737-500, B737-700, B737-800"
,KAJ,Karthago Airlines,KARTHAGO,Tunisia,
KE,KAL,Korean Air,KOREANAIR,South Korea,
,KAM,Air Mach,ICO-AIR,Italy,
,KAO,Kazan Aviation Production Association,KAZAVAIA,Russia,
9K,KAP,Cape Air,CAIR,United States,
IK,KAR,Ikar,IKAR,Russian Federation,
,KAS,Kingston Air Services,KINGSTON AIR,Canada,
,KAT,Kato Airline,KATO-AIR,Norway,
,KAV,Air Kufra,AIRKUFRA,Libya,
,KAW,Kaz Air West,KAZWEST,Kazakhstan,
,KAZ,Comlux Kazakhstan,KAZLUX,Kazakhstan,
,KBA,Kenn Borek Air,BOREK AIR,Canada,
,KBN,Spiracha Aviation,KABIN,Thailand,2014
,KBV,Kustbevakningen,SWECOAST,Sweden,
,KCA,Trans-Kiev,TRANS-KIEV,Ukraine,
,KCE,Irving Oil,KACEY,Canada,
3Q,KCH,KC International Airlines,CAM AIR,Cambodia,
,KCR,Kolob Canyons Air Services,KOLOB,United States,
,KDA,Kendell Airlines,KENDELL,Australia,defunct
,KDC,K D Air Corporation,KAY DEE,Canada,
,KDR,Royal Daisy Airlines,DARLINES,Uganda,
,KDZ,Flightworks,KUDZU,United States,Avior Technologies Operations
BZ,KEE,Keystone Air Service,KEYSTONE,Canada,
,KEK,Arkhabay,ARKHABAY,Kazakhstan,ICAO code no longer allocated
5Z,KEM,CemAir,CEMAIR,South Africa,
M5,KEN,Kenmore Air,KENMORE,United States,
,KES,Kallat El Saker Air Company,KALLAT EL SKER,Libya,
FK,KEW,Keewatin Air,BLIZZARD,Canada,
ZN,KEY,Key Airlines,KEY AIR,United States,
KW,KFA,Kelowna Flightcraft Air Charter,FLIGHTCRAFT,Canada,
,KFC,Kremenchuk Flight College,KREMENCHUK,Ukraine,
,KFE,SkyFirst LTD,SKYFIRST,Malta,2012
,KFK,Aero Charter Krifka,KRIFKA AIR,Austria,
IT,KFR,Kingfisher Airlines,KINGFISHER,India,Defunct Since 2012
K9,KFS,Kalitta Charters,KALITTA,United States,"Operates Lear 25s, 35s, 36s Falcon 20s, CL601"
,KFT,Air Kraft Mir,AIR KRAFT MIR,Uzbekistan,
R8,KGA,Kyrgyzstan Airlines,KYRGYZ,Kyrgyzstan,
,KGB,Kyrgz General Aviation,KEMIN,Kyrgyzstan,
,KGC,Peach Air,GOLDCREST,United Kingdom,
,KGD,Air Concorde,CONCORDE AIR,Bulgaria,
7K,KGL,Kogalymavia Air Company,KOGALYM,Russia,
,KGT,Knights Airlines,KNIGHT-LINER,Nigeria,
,KGZ,Kyrgyz Airlines,BERMET,Kyrgyzstan,
N5,KGZ,Kyrgyz Airlines,BERMET,Kyrgyzstan,
KR,KHA,Kitty Hawk Aircargo,AIR KITTYHAWK,United States,defunct
H8,KHB,Dalavia,DALAVIA,Russia,
2K,KHC,Kitty Hawk Airways,CARGO HAWK,United States,defunct
,KHE,Kanfey Ha'emek Aviation,KANFEY HAEMEK,Israel,
,KHH,Alexandria Airlines,,Egypt,
KW,KHK,Kharkiv Airlines,SUNRAY,Ukraine,
"X9
KO",KHO,Khors Aircompany,AIRCOMPANY KHORS,Ukraine,defunct
,KHP,Khoezestan Photros Air Lines,PHOTROS AIR,Iran,
,KHR,Khazar,KHAZAR,Turkmenistan,
K6,KHV,Angkor Air,AIR ANGKOR,Cambodia,
K6,KHV,Cambodia Angkor Air,ANGKOR AIR,Cambodia,
,KHX,Knighthawk Express,RIZZ,United States,
,KHY,Khyber Afghan Airlines,KHYBER,Afghanistan,
KP,KIA,Kiwi International Air Lines,KIWI AIR,United States,
,KIE,Afit,TWEETY,Germany,
CB*,KII,Kalitta Charters II,DRAGSTER,United States,"Operates B727-200's, DC9-15 & 30, B737-400's"
GW,KIL,Kuban Airlines,AIR KUBAN,Russia,
,KIN,RAF Kinloss,KINLOSS,United Kingdom,Royal Air Force (Kinloss Flying Training Unit)
,KIP,Kinnarps,KINNARPS,Sweden,
,KIS,Contactair,CONTACTAIR,Germany,
,KIW,Royal New Zealand Air Force,KIWI,New Zealand,
,KIZ,Kanaf-Arkia Airlines,,Israel,
7B,KJC,Krasnojarsky Airlines,KRASNOJARSKY AIR,Russia,defunct
,KKA,Kazavia,KAKAIR,Kazakhstan,
,KKB,Air South,KHAKI BLUE,United States,
KK,KKK,Atlasjet,ATLASJET,Turkey,
,KKS,Salem,KOKSHE,Kazakhstan,
TT,KLA,Air Lithuania,KAUNAS,Lithuania,defunct
,KLB,Air Mali International,TRANS MALI,Mali,
WA,KLC,KLM Cityhopper,CITY,Netherlands,
WA,KLC,KLM Cityhopper,CITY,the Netherlands,
,KLD,Air Klaipėda,AIR KLAIPEDA,Lithuania,
,KLE,Rusaero,,Russia,Centre for Civil Aviation Services
,KLG,Karlog Air Charter,KARLOG,Denmark,defunct
,KLH,KLM Helicopter,KLM HELI,Netherlands,
KL,KLM,KLM,KLM,Netherlands,
,KLO,Flight-Ops International,KLONDIKE,Canada,
,KLR,Columbus Air Transport,KAY-LER,United States,
KD,KLS,Kalstar Aviation,KALSTAR,Indonesia,
,KLX,Kelix Air,KELIX,Nigeria,
,KLZ,Aerokaluz,AEROKALUZ,Mexico,
,KMA,Komiaviatrans State Air Enterprise,KOMI AVIA,Russia,
,KMB,Delta Engineering Aviation,KEMBLEJET,United Kingdom,
,KMC,Kahama Mining Corporation,KAHAMA,Tanzania,
KR,KME,Cambodia Airways,GIANT IBIS,Cambodia,
RQ,KMF,Kam Air,KAMGAR,Afghanistan,
,KMG,Kosmas Air,KOSMAS CARGO,Serbia,
,KMI,K-Mile Air,KAY-MILE AIR,Thailand,
E2,KMP,Kampuchea Airlines,KAMPUCHEA,Cambodia,IATA was KT
W7,KMR,Western Pacific Airlines,KOMSTAR,United States,
8J,KMV,Komiinteravia,KOMIINTER,Russia,
KY,KNA,Kunming Airlines,KUNMING AIR,China,ICAO code KNA was used by Knight Air
XY,KNE,Flynas,NAS EXPRESS,Saudi Arabia,
,KNG,King Aviation,KING,United Kingdom,
KD,KNI,KD Avia,KALININGRAD AIR,Russia,
,KNM,GB Helicopters,KINGDOM,United Kingdom,
,KNM,Komsomolsk-on-Amur Air Enterprise,KNAAPO,Russia,
,KNS,Kinshasa Airways,KINSHASA AIRWAYS,Democratic Republic of the Congo,defunct
4I,KNX,Knighthawk Air Express,KNIGHT FLIGHT,Canada,
,KOA,Koanda Avacion,KOANDA,Spain,
,KOB,Koob-Corp - 96 KFT,AUTOFLEX,Hungary,
,KOE,Northland Aviation,KOKEE,United States,
,KOK,Horizon Air Service,KOKO,United States,
,KOM,Kom Activity,COMJET,Netherlands,
,KOP,Servicios Aéreos Copters,COPTERS,Chile,
JS,KOR,Air Koryo,AIR KORYO,Democratic People's Republic of Korea,
,KOS,Kosova Airlines,KOSOVA,Serbia,
,KOV,Orlan-2000,ORLAN,Kazakhstan,
,KOY,Araiavia,ALEKS,Kazakhstan,
VD,KPA,Kunpeng Airlines,KUNPENG,China,
,KPH,Kazan Helicopters,KAMA,Russia,
,KPM,Sky Prim Air,SKY PRIMAIR,Molodva,
KQ,KQA,Kenya Airways,KENYA,Kenya,
,KRA,Kiwi Regional Airlines,REGIONAL,New Zealand,
,KRA,Transcontinental  Airlines,REGATA,Kazakhstan,
,KRB,Karibu Airways Company,KARIBU AIR,Tanzania,
,KRC,Royal New Zealand Air Force,KIWI RESCUE,New Zealand,
,KRE,AeroSucre,AEROSUCRE,Colombia,
,KRF,United Kingdom Royal VIP Flights,KITTYHAWK,United Kingdom,In Military Aircraft
,KRG,Krimaviamontag,AVIAMONTAG,Ukraine,
,KRH,United Kingdom Royal VIP Flight,SPARROWHAWK,United Kingdom,In Civil Chartered Aircraft
K9,KRI,Krylo Airlines,Krylo,Russia,
,KRM,Crimea Universal Avia,TRANS UNIVERSAL,Ukraine,
,KRN,Kaz Agros Avia,ANTOL,Kazakhstan,
,KRO,Kroonk Air Agency,KROONK,Ukraine,
V3,KRP,Carpatair,CARPATAIR,Romania,
,KRS,Rosen Aviation,,Japan,2014
,KRT,Air Kokshetau,KOKTA,Kazakhstan,ICAO code no longer allocated
,KRV,Khoriv-Avia,KHORIV-AVIA,Ukraine,
,KSA,K S Avia,SKY CAMEL,Latvia,
,KSI,Air Kissari,KISSARI,Angola,
,KSM,Kosmos,KOSMOS,Russia,
,KSP,Servicios Aéreos Expecializados En Transportes Petroleros,SAEP,Colombia,
,KSS,Raytheon Travel Air,KANSAS,United States,
,KST,PTL Luftfahrtunternehmen,KING STAR,Germany,
,KSU,Kansas State University,K-STATE,United States,
,KTA,Kirov Air Enterprise,VYATKA-AVIA,Russia,
,KTB,Transaviabaltika,TRANSBALTIKA,Lithuania,
,KTC,Kyrgyz Trans Avia,DINARA,Kyrgyzstan,
,KTK,Katekavia,KATEKAVIA,Russia,
,KTL,P & P Floss Pick Manufacturers,KNOTTSBERRY,South Africa,
,KTN,Aeronavigaciya,AERONAVIGACIYA,Ukraine,
,KTR,HT Helikoptertransport,COPTER TRANS,Sweden,
,KTS,Transair-Gyraintiee,KOTAIR,Russia,
,KTV,Kata Transportation,KATAVIA,Sudan,
,KUS,National Airlines,KUSWAG,South Africa,
,KVK,Olimp Air,PONTA,Kazakhstan,
,KVR,Alliance Avia,KAVAIR,Kazakhstan,
,KVS,Kevis,KEVIS,Kazakhstan,
,KVZ,Z-Aero Airlines,,Ukraine,
,KWA,Vozdushnaya Academy,VOZAIR,Kazakhstan,
,KWN,Kwena Air,KWENA,South Africa,
,KWX,Florida Aerocharter,KAY DUB,United States,Allocated in 2014
,KYC,Av Atlantic,DOLPHIN,United States,
,KYD,Sky Messaging,SKYAD,South Africa,
GG,KYE,Sky Lease Cargo,SKY CUBE,United States,
,KYM,Krym,CRIMEA AIR,Ukraine,
,KYR,Sky Aeronautical Services,SKY AERONAUTICAL,Mexico,
YK,KYV,Cyprus Turkish Airlines,AIRKIBRIS,Turkey,Ceased operations 2010
,KZA,Kurzemes Avio,,Russia,
,KZE,Euro-Asia Air International,KAZEUR,Kazakhstan,
,KZH,Zhez Air,,Kazakhstan,
,KZM,Phoebus Apolloa Zambia,CARZAM,Zambia,
KC,KZR,Air Astana,ASTANALINE,Kazakhstan,
,KZS,Kazaviaspas,SPAKAZ,Kazakhstan,
GO,KZU,Kuzu Airlines Cargo,KUZU CARGO,Turkey,
K6,KZW,Khalifa Airways,KHALIFA AIR,Algeria,
LN,LAA,Libyan Arab Airlines,LIBAIR,Libya,
JF,LAB,L.A.B. Flying Service,LAB,United States,
,LAC,Lockeed Aircraft Corporation,LOCKHEED,United States,
,LAD,Lebanon Airport Development Corporation,LADCO-AIR,United States,
,LAF,Latvian Air Force,LATVIAN AIRFORCE,Latvia,
,LAG,Aviation Legacy,AVILEG,Gambia,
,LAH,L A Helicopter,STAR SHIP,United States,
KJ,LAJ,British Mediterranean Airways,BEE MED,United Kingdom,defunct
,LAL,Labrador Airways,LAB AIR,Canada,
TM,LAM,Linhas Aéreas de Moçambique,MOZAMBIQUE,Mozambique,
LA,LAN,LATAM Chile,LAN CHILE,Chile,
QV,LAO,Lao Airlines,LAO,Lao People's Democratic Republic,
PZ,LAP,LATAM Paraguay,PARAGUAYA,Paraguay,
PZ,LAP,TAM  Mercosur,PARAGUAYA,Paraguay,
LQ,LAQ,Lebanese Air Transport,LAT,Lebanon,
,LAR,Lawrence Aviation,LAWRENCE,United States,
,LAT,Lebanese Air Transport (charter),LEBANESE AIR,Lebanon,
,LAU,Líneas Aéreas Suramericanas,SURAMERICANO,Colombia,
AP,LAV,AlbaStar,ALBASTAR,Spain,
,LAW,Link Airways of Australia,,Australia,
,LAX,Laminar Air,,Spain,
,LAY,Layang-Layang Aerospace,LAYANG,Malaysia,
LZ,LAZ,Balkan Bulgarian Airlines,BALKAN,Bulgaria,defunct
LV,LBC,Albanian Airlines,ALBANIAN,Albania,
,LBH,Laker Airways (Bahamas),LAKER BAHAMAS,United States,
,LBI,Albisa,ALBISA,Mexico,
,LBQ,Quest Diagnostics,LABQUEST,United States,
,LBR,Elbe Air Transport,MOTION,Germany,
,LBR,Lepl Project Limited (Air Costa),,India,
BJ,LBT,Nouvel Air Tunisie,NOUVELAIR,Tunisia,
,LBW,Albatros Airways,ALBANWAYS,Albania,
,LBY,Belle Air,ALBAN-BELLE,Albania,
,LBZ,Angkasa Super Service,,Indonesia,
,LCA,Leconte Airlines,LECONTE,United States,
,LCB,LC Busre,BUSRE,Peru,
,LCC,The Lancair Company,LANCAIR,United States,
ZE,LCD,Líneas Aéreas Azteca,LINEAS AZTECA,Mexico,defunct
,LCG,Lignes Aeriennes Congolaises,CONGOLAISE,Democratic Republic of the Congo,
,LCH,Lynch Flying Service,LYNCH AIR,United States,
,LCM,Líneas Aéreas Comerciales,LINEAS COMERCIALES,Mexico,
,LCN,Líneas Aéreas Canedo LAC,CANEDO,Bolivia,
UC,LCO,LATAM Cargo Chile,LAN CARGO,Chile,
,LCR,Libyan Arab Air Cargo,LIBAC,Libya,
,LCS,RAF Leuchars,LEUCHARS,United Kingdom,Royal Air Force
,LCT,Compañía De Actividades Y Servicios De Aviación,STELLAIR,Spain,
YQ,LCT,TAR Aerolineas,TAR,Mexico,
,LCY,London City Airport Jet Centre,LONDON CITY,United Kingdom,
NG,LDA,Lauda Air,LAUDA AIR,Austria,
,LDE,LADE - Líneas Aéreas Del Estado,LADE,Argentina,
,LDG,Aerolíneas Aéreas Ejecutivas De Durango,DURANGO,Mexico,
,LDI,Lauda Air Italy,LAUDA ITALY,Italy,
,LDL,Aerologic,,Russia,
OE,LDM,LaudaMotion,LAUDA MOTION,Austria,
,LDN,Al-Donas Airlines,ALDONAS AIR,Nigeria,
,LDR,Aero Lider,AEROLIDER,Mexico,
,LEA,Unijet,LEADAIR,France,
,LEB,Lebap,LEBAP,Turkmenistan,
,LEC,Linex,LECA,Central African Republic,
,LED,Blom Geomatics,SWEEPER,Norway,
,LEE,RAF Leeming,JAVELIN,United Kingdom,Royal Air Force (Leeming Flying Training Unit)
,LEG,The Army  Aviation Heritage Foundation,LEGACY,United States,
,LEJ,FSH Luftfahrtunternehmen,LEIPZIG FAIR,Germany,
,LEL,Leonsa De Aviación,LEONAVIA,Spain,
,LEM,Aleem,,Egypt,
,LEN,Lentini Aviation,LENTINI,United States,
LB,LEP,Air Costa,LECOSTA,India,
,LEP,Laughlin Express,LAUGHLIN EXPRESS,United States,
QL,LER,Línea Aérea de Servicio Ejecutivo Regional,LASER,Venezuela,
,LET,Aerolíneas Ejecutivas,MEXEJECUTIV,Mexico,
,LEU,Lions-Air,LIONSAIR,Switzerland,
,LEX,L'Express Airlines,LEX,United States,
H7,LFA,Air Alfa,AIR ALFA,Turkey,
,LFC,Aero Control Air,LIFE FLIGHT CANADA,Canada,defunct
,LFE,Luxflight Executive,LUX EXPRESS,Luxembourg,
,LFI,National Airways Corporation,AEROMED,South Africa,
,LFL,Executive Air,LIFE FLIGHT,Zimbabwe,
,LFO,Deutsches Zentrum fur Luft-und Raumfahrt EV,LUFO,Germany,
,LFP,Alfa Aerospace,ALFA-SPACE,Australia,
,LFR,Atlantic Airfreight Aviation,LANFREIGHT,São Tomé and Príncipe,
,LFT,Aerolift Company,LIFTCO,Sierra Leone,defunct
,LGA,Logistic Air,LOGAIR,Malaysia,
,LGC,Legacy Air,LEGACY AIR,Thailand,
,LGD,Legend Airlines,LEGENDARY,United States,
LG,LGL,Luxair,LUXAIR,Luxembourg,
,LGN,Aerolaguna,AEROLAGUNA,Mexico,
,LGT,Longtail Aviation,LONGTAIL,Bermuda,
,LGU,Servicios Aéreos Ejecutivos De La Laguna,LAGUNA,Mexico,
HE,LGW,German Airways,WALTER,Germany,Former name: Luftfahrtgesellschaft Walter
GI,LHA,Longhao Airlines,AIR CANTON,China,
,LHB,Liebherr Geschaeftreiseflugzeug,FAMILY,Germany,
,LHC,London Helicopter Centres,MUSTANG,United Kingdom,
EO,LHN,Express One International,LONGHORN,United States,defunct
,LHR,Al Ahram Aviation,AL AHRAM,Egypt,
,LHS,Luhansk,ENTERPRISE LUHANSK,Ukraine,
,LHT,Lufthansa Technik,LUFTHANSA TECHNIK,Germany,
VL,LHX,City Airlines,CITYAIR,Germany,LH subsidiary Allocated in 2023
LI,LIA,Leeward Islands Air Transport,LIAT,Antigua and Barbuda,
IJ,LIB,Air Liberté,LIBERTE,France,defunct
,LIB,Polizeihubschrauberstaffel Hamburg,LIBELLE,Germany,
D4,LID,Alidaunia,ALIDA,Italy,
,LIE,Al-Dawood Air,AL-DAWOOD AIR,Nigeria,
,LIF,Rocky Mountain Holdings,LIFECARE,United States,
,LIJ,Líneas Aéreas San Jose,LINEAS JOSE,Mexico,
TE,LIL,FlyLal,LITHUANIA AIR,Lithuania,defunct
,LIN,Aerolimousine,AEROLIMOUSINE,Russia,
,LIQ,Lid Air,,Sweden,
,LIR,Minsk Aircraft Overhaul Plant,LISLINE,Belarus,
,LIS,Eastern Express,LARISA,Kazakhstan,
,LIV,Air Livonia,LIVONIA,Estonia,defunct
,LJA,Air Jamahiriya Company,AIR JAMAHIRIYA,Libya,ICAO code no longer allocated
,LJY,L J Aviation,ELJAY,United States,
,LKA,Lao Capricorn Air,NAKLAO,Lao People's Democratic Republic,
,LKD,Lignes Aeriennes Du Tchad,LATCHAD,Chad,
,LKE,Lucky Air,LUCKY AIR,China,
,LKL,Lakeland Aviation,LAKELAND,United States,
IK,LKN,Lankair,Lankair,Sri Lanka,
,LKP,American Aviation,LAKE POWELL,United States,ICAO code no longer allocated
,LKR,Laker Airways,LAKER,United States,
,LKS,Airlink Solutions,AIRLIN,Spain,
,LKW,Top Sky International,TOPINTER,Indonesia,
,LKY,Air Solutions,LUCKY,United States,
,LLA,Servico Leo Lopex,LEO LOPOZ,Mexico,
LB,LLB,Lloyd Aéreo Boliviano,LLOYDAEREO,Bolivia,
S5,LLC,Small Planet Airlines,SMALL PLANET,Lithuania,defunct
,LLD,Lloyd Aviation,,Venezuela,
P2,LLI,Small Planet Airlines,AURIGA,Italy,defunct
,LLL,Lao Skyway,LAVIE,Lao People's Democratic Republic,
YL,LLM,Yamal Airlines,YAMAL,Russia,
,LLO,Operation Enduring Freedom,APOLLO,Canada,
P7,LLP,Small Planet Airlines,SKYPOL,Poland,defunct
9I,LLR,Air India Regional,ALLIED,India,
9I,LLR,Thai Sky Airlines,THAI SKY AIR,Thailand,
,LLS,Servicios Aéreos Estrella,SERVIESTRELLA,Mexico,
5P,LLX,Small Planet Airlines,GERMANJET,Germany,defunct
,LMA,Aerolima,AEROLIMA,Mexico,
,LMC,Línea Aérea Mexicana de Carga,LINEAS DECARGA,Mexico,
,LME,Lignes Mauritaniennes Air Express,LIMAIR EXPRESS,Mauritania,
,LMG,South African Air Force,SOUTH AFRICAN,South Africa,
,LMJ,Masterjet,MASTERJET,Portugal,
,LMK,Grantex Aviation,LANDMARK,United Kingdom,
,LML,Alamia Air,ALAMIA AIR,Libya,ICAO code no longer allocated
,LMN,Líneas Aéreas Monarca,LINEAS MONARCA,Mexico,
,LMO,Sky One Holdings as Privaira,SKY HOLDINGS,United States,"Callsign and company name changed from Sky Limo Corporation ""SKY LIMO"" in 2015."
,LMP,Air Plus Argentina,AIR FLIGHT,Argentina,
,LMR,Lamra,LAMAIR,Sudan,
,LMS,Lomas Helicopters,LOMAS,United Kingdom,
,LMT,Almaty Aviation,ALMATY,Kazakhstan,
UJ,LMU,AlMasria Universal Airlines,ALMASRIA,Egypt,
,LMX,Aerolíneas Mexicanas J S,LINEAS MEXICANAS,Mexico,
,LMY,Air Almaty,AGLEB,Kazakhstan,
,LMZ,Air Almaty ZK,ALUNK,Kazakhstan,
,LNA,Lnair Air Services,ELNAIR,Spain,
,LNC,LAN Dominicana,LANCANA,Dominican Republic,
XL,LNE,Aerolane,AEROLANE,Ecuador,Líneas Aéreas Nacionales Del Ecuador
,LNG,Lockheed Martin Aeronautics Company,LIGHTNING,United States,
JT,LNI,Lion Air,LION INTER,Indonesia,
4Z,LNK,Airlink,LINK,South Africa,
L7,LNP,Línea Aérea SAPSA,SAPSA,Chile,
,LNT,Aerolíneas Internacionales,LINEAINT,Mexico,
,LNX,London Executive Aviation,LONEX,United Kingdom,
,LOD,Malmoe Air Taxi,LOGIC,Sweden,
AX,LOF,Trans States Airlines,WATERSKI,United States,
LM,LOG,Loganair,LOGAN,United Kingdom,Gained the code LM after beginning independent operations (2017)
,LOK,Alok Air,ALOK AIR,Sudan,
,LOP,RAF Linton-on-Ouse,LINTON ON OUSE,United Kingdom,Royal Air Force (Linton-on-Ouse Flying Training Unit)
,LOR,Leo-Air,LEO CHARTER,South Africa,
,LOS,RAF Lossiemouth,LOSSIE,United Kingdom,Royal Air Force (Lossiemouth Flying Training Unit)
LO,LOT,LOT Polish Airlines,POLLOT,Poland,"""POLLOT"" is not used in practice. ""LOT"" is used in almost all cases."
,LOU,Air Saint Louis,AIR SAINTLOUIS,Senegal,
,LOV,London Flight Centre (Stansted),LOVEAIR,United Kingdom,
FL,LPA,Air Leap,LEAP,Sweden,
,LPA,Pal Aerolíneas,LINEASPAL,Mexico,
,LPC,Alpine Aviation,NETSTAR,South Africa,
,LPD,UK Royal/HRH Duke of York,LEOPARD,United Kingdom,
LP,LPE,LATAM Peru,LANPERU,Peru,
,LPL,Lease-a-Plane International,LEASE-A-PLANE,United States,
L7,LPN,Laoag International Airlines,LAOAG AIR,Philippines,
MJ,LPR,Líneas Aéreas Privadas Argentinas,LAPA,Argentina,defunct
A6,LPV,Air Alps Aviation,ALPAV,Austria,
,LRA,Little Red Air Service,LITTLE RED,Canada,
,LRB,L R Airlines,LADY RACINE,Czech Republic,
LR,LRC,LACSA,LACSA,Costa Rica,
,LRD,Laredo Air,LAREDO AIR,United States,
,LRO,Alrosa-Avia,ALROSA,Russia,
,LRR,Lorraine Aviation,LORRAINE,France,
RZ*,LRS,Sansa,,Costa Rica,
,LRT,Lincoln Airlines,,Australia,
,LRW,Al Rida Airways,AL RIDA,Mauritania,
,LSA,LANSA,INTERNACIONAL,Dominican Republic,
,LSC,Los Cedros Aviación,CEDROS,Chile,
,LSE,Línea De Aeroservicios,,Chile,
,LSK,Aurela,AURELA,Lithuania,
,LSM,Aerobusinessservice,,Russia,defunct
,LSP,Spectrum Aviation Incorporated,AIR TONY,United Kingdom,
,LSR,Alsair,ALSAIR,France,
,LSS,Lone Star Airlines,LONE STAR,United States,
,LSU,Laus,LAUS AIR,Croatia,
,LSV,Slovenian Ministry of Defence,,Slovenia,
,LSY,Lindsay Aviation,LINDSAY AIR,United States,
,LTA,LIFT Academy,LIFT,United States,
,LTA,Trans Atlantis,LANTRA,Canada,
,LTC,LatCharter,LATCHARTER,Latvia,defunct
,LTD,Executive Express Aviation/JA Air Charter,LIGHT SPEED,United States,
XO,LTE,LTE International Airways,FUN JET,Spain,
,LTF,Lufttaxi Fluggesellschaft,Garfield,Germany,
,LTI,Aerotaxis Latinoamericanos,LATINO,Mexico,
,LTL,Benin Littoral Airways,LITTORAL,Benin,
L3,LTO,LTU Austria,BILLA TRANSPORT,Austria,
L5,LTR,Lufttransport,LUFT TRANSPORT,Norway,
,LTS,Flight Inspections and Systems,SPECAIR,Russia,
LT,LTU,LTU International,LTU,Germany,
,LTW,Luchtvaartmaatschappij Twente,TWENTAIR,Netherlands,
,LTY,Liberty Air,SKYDECK,Netherlands,
,LUC,Albinati Aeronautics,ALBINATI,Switzerland,
,LUE,Aeroclub de Alicante,,Spain,
,LUK,LUKoil-Avia,LUKOIL,Russia,
TD,LUR,Atlantis European Airways,ATLANTIS,Armenia,defunct
,LUT,Luft Carago,LUGO,South Africa,
,LUV,Luxembourg Air Rescue,LUX RESCUE,Luxembourg,
,LUZ,Luzair,LISBON JET,Portugal,
,LVB,IRS Airlines,SILVERBIRD,Nigeria,
,LVD,Luftfahrt-Vermietungs-Dienst,AIR SANTE,Austria,
LM,LVG,Livingston Energy Flight,LIVINGSTON,Italy,Ceased operations 2010
LV,LVL,Level,LEVEL,Spain and France,
,LVN,Aliven,ALIVEN,Italy,
,LVR,Aviavilsa,AVIAVILSA,Lithuania,
,LVT,La Valenciana Taxi Aéreo,TAXIVALENCIANA,Mexico,
YL,LWA,Libyan Wings,LIBYAN WINGS,Libya,
,LWD,Leisure Air,LEISURE WORLD,United States,
,LWG,Luxwing,LUXWING,Malta,
,LWL,Lowlevel,CUB DRIVER,Portugal,
,LXA,Luxaviation,RED LION,Luxembourg,
,LXF,Lynx Air International,LYNX FLIGHT,United States,
L8,LXG,Air Luxor GB,LUXOR GOLF,Guinea-Bissau,
,LXJ,Bombardier Business Jet Solutions,FLEXJET,United States,
,LXO,Luxor Air,,Egypt,
LU,LXP,LATAM Express,LANEX,Chile,
LK,LXR,Air Luxor,AIRLUXOR,Portugal,ICAO code no longer allocated
,LYB,Lynden Air Cargo,HIGHLANDS,Papua New Guinea,
